371.875+0i	0.614279029760496-0.363867839545362i
372.65625+0i	0.615177810700476-0.359061361147986i
373.4375+0i	0.616693258474843-0.353382225062843i
374.21875+0i	0.6165443404732-0.347046049928719i
375+0i	0.616632798299118-0.341881356360995i
375.78125+0i	0.617070464132851-0.335358276358764i
376.5625+0i	0.617750918782528-0.329292744086406i
377.34375+0i	0.617798559156358-0.32282413160662i
378.125+0i	0.618299242828501-0.316991161900821i
378.90625+0i	0.61844402770734-0.310413499149999i
379.6875+0i	0.620000366852239-0.303674746709768i
380.46875+0i	0.6196715366147-0.297756077047563i
381.25+0i	0.619933659730942-0.292939235934359i
382.03125+0i	0.620858391334781-0.286793093830746i
382.8125+0i	0.621572588785194-0.28003889122267i
383.59375+0i	0.622056228138426-0.273681500229244i
384.375+0i	0.620762796603111-0.268648528819197i
385.15625+0i	0.621368474877762-0.263216188598935i
385.9375+0i	0.622280657024427-0.256266512976306i
386.71875+0i	0.622446071825659-0.250427938241743i
387.5+0i	0.624935230942973-0.244219808664649i
388.28125+0i	0.624895834247204-0.238985043843133i
389.0625+0i	0.624758305091729-0.23287773685894i
389.84375+0i	0.625047831126835-0.225952257267131i
390.625+0i	0.624124249242101-0.220428253229795i
391.40625+0i	0.624940946162298-0.215486710529767i
392.1875+0i	0.625442200087668-0.209320269299796i
392.96875+0i	0.626261206510459-0.203729506469058i
393.75+0i	0.626646735665448-0.197420681159366i
394.53125+0i	0.626684757923883-0.190696436636025i
395.3125+0i	0.627189386398329-0.184886620947495i
396.09375+0i	0.627310001629367-0.178566523029907i
396.875+0i	0.627621439200635-0.172438395165727i
397.65625+0i	0.628371641529983-0.166596916927493i
398.4375+0i	0.629005312885962-0.160956370904878i
399.21875+0i	0.630067257936631-0.154592906038045i
400+0i	0.631081149566965-0.148823676780975i
400.78125+0i	0.630799601137185-0.142418478179918i
401.5625+0i	0.631201712627402-0.136822122443676i
402.34375+0i	0.631859960957553-0.131914541992999i
403.125+0i	0.632055307109717-0.12495767561474i
403.90625+0i	0.632117499519263-0.120649176693226i
404.6875+0i	0.633172720794019-0.113880680375997i
405.46875+0i	0.633902865841338-0.107845680083031i
406.25+0i	0.633083873076691-0.10226174318566i
407.03125+0i	0.633223419021641-0.0954112228659402i
407.8125+0i	0.633294227307655-0.0899883516278926i
408.59375+0i	0.634304078780859-0.0838371331168031i
409.375+0i	0.635252377559006-0.0785941287567839i
410.15625+0i	0.635656403835495-0.0729782507990108i
410.9375+0i	0.636749738315474-0.0672268467243474i
411.71875+0i	0.637542458493558-0.0619322708313458i
412.5+0i	0.637229057383239-0.0560421041097178i
413.28125+0i	0.63758279608996-0.0491468326920155i
414.0625+0i	0.638226002647212-0.0432362566216739i
414.84375+0i	0.639011168994892-0.0388698856893774i
415.625+0i	0.639176262037355-0.0319720533260502i
416.40625+0i	0.640380514441465-0.0264192409335721i
417.1875+0i	0.641442491653579-0.0221439708397386i
417.96875+0i	0.640890449254565-0.0160892134134684i
418.75+0i	0.64091943470555-0.00993525447524597i
419.53125+0i	0.641715006159538-0.00463017802669967i
420.3125+0i	0.641970629985426-0.000723103892593453i
421.09375+0i	0.643716348079786+0.00390464608253972i
421.875+0i	0.644886045478085+0.00928906616732369i
422.65625+0i	0.645796552434623+0.015479903671447i
423.4375+0i	0.645320110518472+0.0220188043404469i
424.21875+0i	0.64520147890977+0.0284682221596486i
425+0i	0.646196010821234+0.0336133303774881i
425.78125+0i	0.645537151772935+0.0394900424943634i
426.5625+0i	0.645525139699803+0.0436713091981491i
427.34375+0i	0.646417295444607+0.0489336295683863i
428.125+0i	0.648330277363453+0.0543470472225532i
428.90625+0i	0.648160212516426+0.0606515751574421i
429.6875+0i	0.647920849664956+0.0674101698331106i
430.46875+0i	0.648911573513747+0.0733650016015477i
431.25+0i	0.649804647411525+0.0788040821925294i
432.03125+0i	0.650253993244436+0.0832452895500493i
432.8125+0i	0.651445555201251+0.0896404695436232i
433.59375+0i	0.65231294726071+0.0950096585141061i
434.375+0i	0.652350245383607+0.10114091892672i
435.15625+0i	0.653037295595136+0.106995885969467i
435.9375+0i	0.653789202544489+0.112895715223259i
436.71875+0i	0.654714645244141+0.117809923470005i
437.5+0i	0.655069340291899+0.123446297376995i
438.28125+0i	0.654250332806129+0.127678451979349i
439.0625+0i	0.655007146799571+0.1326172583148i
439.84375+0i	0.655920969782715+0.139842808888264i
440.625+0i	0.656452250601566+0.144995364650661i
441.40625+0i	0.658810925695719+0.150348442385074i
442.1875+0i	0.659635040700525+0.15548226645354i
442.96875+0i	0.659753068195333+0.159474709726718i
443.75+0i	0.66063374407292+0.163753876839198i
444.53125+0i	0.660688396085905+0.169075777685697i
445.3125+0i	0.661485989304725+0.175952141643177i
446.09375+0i	0.662304194446674+0.180395006241668i
446.875+0i	0.663212105142728+0.185986566323164i
447.65625+0i	0.662809249283822+0.190567145614161i
448.4375+0i	0.663686072426205+0.19655556697067i
449.21875+0i	0.6644313961877+0.201986089847233i
450+0i	0.66502965464446+0.206840425836986i
450.78125+0i	0.665463255193345+0.211947777108953i
451.5625+0i	0.664705572975489+0.216716456507832i
452.34375+0i	0.664922992063692+0.222843883874023i
453.125+0i	0.666094098835197+0.228335216776593i
453.90625+0i	0.66664455410586+0.232452763996907i
454.6875+0i	0.666823912264868+0.23975701059652i
455.46875+0i	0.666665914232693+0.245117046375542i
456.25+0i	0.667323265427484+0.250148961249281i
457.03125+0i	0.669307997823819+0.256145397620953i
457.8125+0i	0.669517321624106+0.261039536598869i
458.59375+0i	0.669100888921134+0.264816716921705i
459.375+0i	0.669946433858668+0.270666261641188i
460.15625+0i	0.671535739931294+0.275413806785076i
460.9375+0i	0.672613607818503+0.279999129001373i
461.71875+0i	0.672801186639153+0.286040203440398i
462.5+0i	0.674044552557898+0.292712020793454i
463.28125+0i	0.674267488426534+0.29794111289306i
464.0625+0i	0.67450952950194+0.300674313922003i
464.84375+0i	0.675341920543652+0.305033960608006i
465.625+0i	0.676004208854604+0.310518125300204i
466.40625+0i	0.675962693390138+0.315809690346864i
467.1875+0i	0.677264617613923+0.320759101020851i
467.96875+0i	0.678704386305192+0.324742491513942i
468.75+0i	0.677260362673178+0.328897617250722i
469.53125+0i	0.679464517585428+0.335018205044001i
470.3125+0i	0.679896275193629+0.341101893202409i
471.09375+0i	0.680671552744853+0.345052314485807i
471.875+0i	0.680999450266099+0.35090135253309i
472.65625+0i	0.679593818009681+0.358043142927864i
473.4375+0i	0.679784083842404+0.362682999213384i
474.21875+0i	0.681014153911632+0.365103579701672i
475+0i	0.682499748330023+0.369968596202773i
475.78125+0i	0.683463807064927+0.375936418960739i
476.5625+0i	0.68413123130213+0.381959916857878i
477.34375+0i	0.686105912343055+0.387122775479771i
478.125+0i	0.68691898881029+0.392371841443364i
478.90625+0i	0.687189403846735+0.396377901095646i
479.6875+0i	0.689483260058628+0.400266645218904i
480.46875+0i	0.691801786419169+0.406433963199184i
481.25+0i	0.691721513739397+0.410834569588718i
482.03125+0i	0.691877199416663+0.415421059001622i
482.8125+0i	0.692019190090894+0.421134685376536i
483.59375+0i	0.693197007085741+0.426050725908955i
484.375+0i	0.692628267042834+0.431075368089078i
485.15625+0i	0.692589952420925+0.435156832827471i
485.9375+0i	0.693892243939409+0.440192228464177i
486.71875+0i	0.694687171846143+0.4466360639961i
487.5+0i	0.693748191630001+0.450727383326651i
488.28125+0i	0.693244307099828+0.454196959791751i
489.0625+0i	0.692618130121788+0.462665992061199i
489.84375+0i	0.694453877901733+0.471279844782297i
490.625+0i	0.696564994968447+0.474155380555734i
491.40625+0i	0.697698699500383+0.478389777966168i
492.1875+0i	0.697391606859612+0.482407446584921i
492.96875+0i	0.700080039815195+0.486163298716571i
493.75+0i	0.701545956042853+0.487559954520037i
494.53125+0i	0.701668327103943+0.49453378674857i
495.3125+0i	0.703455160084382+0.500604725257044i
496.09375+0i	0.702804668013903+0.505299973184109i
496.875+0i	0.70196907884531+0.508818600021845i
497.65625+0i	0.701653980399425+0.513402561107067i
498.4375+0i	0.702267095747433+0.518271685183085i
499.21875+0i	0.704347145435592+0.523274063602013i
500+0i	0.704629060945421+0.529207979963473i
500.78125+0i	0.706140813387479+0.53439440192787i
501.5625+0i	0.706000185908652+0.538307145221293i
502.34375+0i	0.706085570453228+0.542481041934405i
503.125+0i	0.706740336697894+0.545866381071013i
503.90625+0i	0.707579142463173+0.551263224785394i
504.6875+0i	0.706653767807829+0.556135868228617i
505.46875+0i	0.71044394740347+0.562279682087244i
506.25+0i	0.712458492769566+0.566082182140983i
507.03125+0i	0.713707754830012+0.572026101766372i
507.8125+0i	0.716381643486215+0.578047122801537i
508.59375+0i	0.71659799588671+0.582340787295849i
509.375+0i	0.715929338057146+0.589100582671425i
510.15625+0i	0.715966278567411+0.593806199451758i
510.9375+0i	0.717229693119465+0.59797983897656i
511.71875+0i	0.719217031158854+0.601728342891672i
512.5+0i	0.719322299597797+0.606628467969996i
513.28125+0i	0.718018753637777+0.610202404521644i
514.0625+0i	0.717475174637712+0.61343774797318i
514.84375+0i	0.717525200103128+0.617896831106388i
515.625+0i	0.71879146209509+0.624046733762118i
516.40625+0i	0.720331251577285+0.628939847674374i
517.1875+0i	0.720433510622082+0.635105408166839i
517.96875+0i	0.723671446240713+0.639376750556307i
518.75+0i	0.723364711453009+0.643562030741203i
519.53125+0i	0.724230498101985+0.64749337848851i
520.3125+0i	0.724214771405997+0.650873326396337i
521.09375+0i	0.725086619310737+0.656498935941811i
521.875+0i	0.72441593123928+0.661184488815916i
522.65625+0i	0.724089878343442+0.664554386842661i
523.4375+0i	0.727556690064146+0.669307965402833i
524.21875+0i	0.728322868179184+0.675085474029003i
525+0i	0.727290387439795+0.680682390795854i
525.78125+0i	0.728411727706869+0.68581708258835i
526.5625+0i	0.726292677236932+0.69010840167587i
527.34375+0i	0.727378192040997+0.696301151764215i
528.125+0i	0.728795631105341+0.703156785123523i
528.90625+0i	0.729395334732732+0.708132108287314i
529.6875+0i	0.73218736905562+0.711319233646606i
530.46875+0i	0.735481740824155+0.717254621702021i
531.25+0i	0.735288043426821+0.722749285980021i
532.03125+0i	0.734584199583006+0.726970229601701i
532.8125+0i	0.734644948240937+0.730403791499293i
533.59375+0i	0.736062313086665+0.733264363459074i
534.375+0i	0.733927199214115+0.739323286358439i
535.15625+0i	0.734169665738526+0.741486626580902i
535.9375+0i	0.736573123330391+0.745736632488296i
536.71875+0i	0.736626997742969+0.75284588996484i
537.5+0i	0.739471382408592+0.756858112426073i
538.28125+0i	0.741553323705542+0.759513609240755i
539.0625+0i	0.7438423578302+0.762742776811855i
539.84375+0i	0.744436161921709+0.765773635849533i
540.625+0i	0.745771100198231+0.771519991536448i
